"EmployeeNumber","Attrition","Age","Department","JobRole","Gender","MaritalStatus","BusinessTravel","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","JobInvolvement","JobLevel","JobSatisfaction","MonthlyIncome","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","AgeBand","TenureBand","IncomeBand","DistanceBand","PromotionWaitBand","AttritionFlag"
425,"No",45,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Frequently",7,3,"Life Sciences",1,3,3,1,5210,1,"No",18,3,1,1,24,2,3,24,9,9,11,"45-54","10+ years","5000-6999","6-10","6+ years",0
426,"No",31,"Research & Development","Research Scientist","Male","Divorced","Travel_Rarely",2,4,"Life Sciences",3,3,1,4,2695,0,"Yes",18,3,2,1,3,2,1,2,2,2,2,"25-34","1-2 years","Under 3000","1-5","2-3 years",0
428,"No",33,"Research & Development","Manager","Female","Married","Travel_Frequently",5,4,"Life Sciences",4,3,3,2,11878,6,"No",11,3,2,2,12,2,3,10,6,8,8,"25-34","6-10 years","10000+","1-5","6+ years",0
429,"No",39,"Research & Development","Manager","Male","Married","Travel_Rarely",10,1,"Medical",3,3,4,1,17068,1,"Yes",14,3,4,0,21,3,3,21,9,11,10,"35-44","10+ years","10000+","6-10","6+ years",0
430,"No",43,"Research & Development","Laboratory Technician","Female","Single","Travel_Frequently",10,4,"Life Sciences",3,3,1,4,2455,0,"No",19,3,1,0,9,5,3,8,7,1,7,"35-44","6-10 years","Under 3000","6-10","0-1 years",0
431,"No",49,"Research & Development","Healthcare Representative","Female","Single","Travel_Rarely",1,2,"Technical Degree",3,2,4,3,13964,7,"Yes",12,3,4,0,25,2,3,7,1,0,7,"45-54","6-10 years","10000+","1-5","0-1 years",0
433,"Yes",52,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",8,4,"Medical",3,2,2,2,4941,2,"No",15,3,1,0,11,3,2,8,2,7,7,"45-54","6-10 years","3000-4999","6-10","6+ years",1
434,"No",27,"Research & Development","Research Scientist","Female","Single","Travel_Rarely",5,3,"Life Sciences",3,3,1,2,2478,1,"Yes",12,3,2,0,4,2,2,4,3,1,2,"25-34","3-5 years","Under 3000","1-5","0-1 years",0
436,"No",32,"Sales","Sales Executive","Female","Married","Travel_Rarely",8,2,"Technical Degree",3,2,2,2,5228,1,"Yes",11,3,4,0,13,2,3,13,12,11,9,"25-34","10+ years","5000-6999","6-10","6+ years",0
437,"No",27,"Sales","Sales Executive","Male","Single","Travel_Rarely",2,3,"Life Sciences",4,3,2,3,4478,1,"Yes",11,3,1,0,5,3,3,5,4,0,4,"25-34","3-5 years","3000-4999","1-5","0-1 years",0
438,"No",31,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",7,3,"Marketing",4,3,2,4,7547,4,"No",12,3,4,3,13,3,3,7,7,1,7,"25-34","6-10 years","7000-9999","6-10","0-1 years",0
439,"No",32,"Research & Development","Research Scientist","Female","Single","Travel_Rarely",2,4,"Medical",1,4,2,4,5055,7,"No",16,3,3,0,10,0,2,7,7,0,7,"25-34","6-10 years","5000-6999","1-5","0-1 years",0
440,"Yes",28,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",2,4,"Medical",1,1,1,4,3464,5,"Yes",13,3,4,0,5,4,2,3,2,2,2,"25-34","3-5 years","3000-4999","1-5","2-3 years",1
441,"No",30,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",28,2,"Medical",4,3,2,4,5775,1,"No",13,3,4,2,11,2,3,10,8,1,9,"25-34","6-10 years","5000-6999","21+","0-1 years",0
442,"No",31,"Research & Development","Manufacturing Director","Female","Married","Travel_Frequently",7,2,"Life Sciences",3,2,3,3,8943,1,"No",24,4,1,1,10,2,3,10,9,8,9,"25-34","6-10 years","7000-9999","6-10","6+ years",0
444,"No",39,"Research & Development","Manager","Male","Married","Travel_Frequently",7,2,"Medical",3,2,5,4,19272,1,"No",15,3,1,1,21,2,3,21,9,13,3,"35-44","10+ years","10000+","6-10","6+ years",0
445,"Yes",39,"Sales","Sales Executive","Female","Married","Travel_Rarely",3,2,"Medical",4,3,2,3,5238,4,"Yes",18,3,1,0,12,3,2,1,0,0,0,"35-44","1-2 years","5000-6999","1-5","0-1 years",1
446,"No",33,"Sales","Sales Executive","Male","Single","Travel_Frequently",10,3,"Marketing",2,2,2,4,4682,3,"No",14,3,3,0,9,6,2,7,7,0,1,"25-34","6-10 years","3000-4999","6-10","0-1 years",0
447,"No",47,"Research & Development","Research Director","Male","Married","Travel_Rarely",5,5,"Life Sciences",4,3,5,3,18300,4,"No",11,3,2,1,21,2,3,3,2,1,1,"45-54","3-5 years","10000+","1-5","0-1 years",0
448,"No",43,"Research & Development","Laboratory Technician","Female","Divorced","Travel_Frequently",10,4,"Life Sciences",3,2,2,3,5257,1,"No",11,3,2,1,9,3,4,9,7,0,0,"35-44","6-10 years","5000-6999","6-10","0-1 years",0
449,"No",27,"Sales","Sales Executive","Male","Married","Non-Travel",1,1,"Marketing",3,3,2,2,6349,0,"Yes",13,3,4,1,6,0,3,5,4,1,4,"25-34","3-5 years","5000-6999","1-5","0-1 years",0
450,"No",54,"Research & Development","Research Scientist","Female","Single","Travel_Frequently",20,4,"Life Sciences",4,3,2,3,4869,3,"No",12,3,4,0,20,4,2,4,3,0,3,"45-54","3-5 years","3000-4999","11-20","0-1 years",0
451,"No",43,"Research & Development","Healthcare Representative","Female","Married","Travel_Rarely",7,3,"Life Sciences",3,3,3,1,9985,8,"No",16,3,1,1,10,1,2,1,0,0,0,"35-44","1-2 years","7000-9999","6-10","0-1 years",0
452,"No",45,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",8,4,"Other",4,3,2,4,3697,9,"No",14,3,1,2,12,3,3,10,9,9,8,"45-54","6-10 years","3000-4999","6-10","6+ years",0
453,"No",40,"Sales","Sales Executive","Male","Married","Travel_Rarely",1,2,"Medical",2,1,2,4,7457,2,"Yes",22,4,3,3,6,2,2,4,3,0,2,"35-44","3-5 years","7000-9999","1-5","0-1 years",0
454,"Yes",29,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",8,4,"Other",2,1,1,1,2119,1,"Yes",11,3,4,0,7,4,2,7,7,0,7,"25-34","6-10 years","Under 3000","6-10","0-1 years",1
455,"No",29,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",9,5,"Other",2,2,1,4,3983,0,"No",17,3,3,0,4,2,3,3,2,2,2,"25-34","3-5 years","3000-4999","6-10","2-3 years",0
456,"No",30,"Sales","Sales Executive","Female","Divorced","Travel_Rarely",5,3,"Marketing",4,2,2,3,6118,1,"No",13,3,3,3,10,2,3,10,9,1,2,"25-34","6-10 years","5000-6999","1-5","0-1 years",0
458,"No",27,"Sales","Sales Executive","Female","Married","Travel_Rarely",8,4,"Marketing",2,3,2,2,6214,1,"No",18,3,1,1,8,3,3,8,7,0,7,"25-34","6-10 years","5000-6999","6-10","0-1 years",0
460,"No",37,"Research & Development","Manufacturing Director","Male","Divorced","Travel_Rarely",5,2,"Medical",4,3,2,4,6347,7,"No",16,3,3,2,8,2,2,6,2,0,4,"35-44","6-10 years","5000-6999","1-5","0-1 years",0
461,"No",38,"Research & Development","Research Director","Male","Divorced","Travel_Rarely",15,2,"Life Sciences",3,2,3,4,11510,0,"Yes",14,3,2,1,12,3,3,11,10,2,9,"35-44","10+ years","10000+","11-20","2-3 years",0
462,"No",31,"Research & Development","Manufacturing Director","Female","Single","Travel_Rarely",7,4,"Medical",3,3,3,4,7143,1,"Yes",14,3,3,0,11,2,2,11,9,4,10,"25-34","10+ years","7000-9999","6-10","4-5 years",0
463,"No",29,"Sales","Sales Executive","Female","Divorced","Travel_Rarely",10,1,"Marketing",4,2,2,2,8268,1,"Yes",14,3,1,2,7,2,3,7,7,1,7,"25-34","6-10 years","7000-9999","6-10","0-1 years",0
464,"No",35,"Research & Development","Manufacturing Director","Male","Single","Travel_Rarely",5,4,"Technical Degree",3,3,3,2,8095,0,"No",13,3,4,0,17,5,3,16,6,0,13,"35-44","10+ years","7000-9999","1-5","0-1 years",0
465,"No",23,"Research & Development","Research Scientist","Male","Divorced","Travel_Rarely",26,1,"Life Sciences",3,3,1,4,2904,1,"No",12,3,3,2,4,2,2,4,2,0,2,"Under 25","3-5 years","Under 3000","21+","0-1 years",0
466,"No",41,"Research & Development","Manufacturing Director","Male","Single","Travel_Rarely",6,3,"Medical",4,2,2,2,6032,6,"Yes",15,3,4,0,8,3,3,5,4,1,2,"35-44","3-5 years","5000-6999","6-10","0-1 years",0
467,"No",47,"Sales","Sales Representative","Male","Single","Travel_Frequently",4,1,"Medical",2,3,2,3,2976,3,"No",19,3,1,0,5,3,3,0,0,0,0,"45-54","Under 1 year","Under 3000","1-5","0-1 years",0
468,"No",42,"Research & Development","Research Director","Female","Single","Travel_Rarely",23,5,"Life Sciences",1,3,4,4,15992,2,"No",14,3,2,0,16,2,3,1,0,0,0,"35-44","1-2 years","10000+","21+","0-1 years",0
469,"No",29,"Sales","Sales Executive","Male","Married","Non-Travel",2,3,"Life Sciences",4,3,2,3,4649,1,"No",14,3,1,1,4,3,2,4,3,0,2,"25-34","3-5 years","3000-4999","1-5","0-1 years",0
470,"No",42,"Human Resources","Human Resources","Male","Divorced","Travel_Rarely",2,1,"Technical Degree",3,3,1,3,2696,0,"Yes",11,3,3,1,4,5,3,3,2,1,0,"35-44","3-5 years","Under 3000","1-5","0-1 years",0
471,"No",32,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",2,3,"Medical",3,3,1,2,2370,1,"No",13,3,3,1,8,4,3,8,0,0,7,"25-34","6-10 years","Under 3000","1-5","0-1 years",0
473,"No",48,"Sales","Manager","Female","Married","Travel_Rarely",29,1,"Medical",1,3,3,3,12504,3,"No",21,4,2,1,15,3,1,0,0,0,0,"45-54","Under 1 year","10000+","21+","0-1 years",0
474,"No",37,"Research & Development","Research Scientist","Male","Divorced","Travel_Rarely",6,3,"Medical",3,4,2,1,5974,4,"Yes",13,3,1,2,13,2,3,7,7,6,7,"35-44","6-10 years","5000-6999","6-10","6+ years",0
475,"No",30,"Sales","Sales Executive","Female","Married","Non-Travel",25,2,"Technical Degree",4,3,2,3,4736,7,"Yes",12,3,2,1,4,2,4,2,2,2,2,"25-34","1-2 years","3000-4999","21+","2-3 years",0
476,"No",26,"Sales","Sales Executive","Male","Married","Travel_Rarely",1,3,"Life Sciences",3,3,2,3,5296,1,"No",17,3,2,1,8,3,3,8,7,7,7,"25-34","6-10 years","5000-6999","1-5","6+ years",0
477,"No",42,"Research & Development","Healthcare Representative","Male","Single","Travel_Rarely",2,4,"Other",1,2,2,4,6781,3,"No",23,4,2,0,14,6,3,1,0,0,0,"35-44","1-2 years","5000-6999","1-5","0-1 years",0
478,"Yes",21,"Sales","Sales Representative","Female","Single","Travel_Frequently",1,1,"Technical Degree",1,2,1,2,2174,1,"Yes",11,3,3,0,3,3,3,3,2,1,2,"Under 25","3-5 years","Under 3000","1-5","0-1 years",1
479,"No",36,"Sales","Sales Executive","Female","Single","Non-Travel",1,5,"Medical",4,3,2,4,6653,4,"No",15,3,2,0,7,6,3,1,0,0,0,"35-44","1-2 years","5000-6999","1-5","0-1 years",0
481,"No",36,"Sales","Sales Executive","Male","Married","Travel_Frequently",3,4,"Medical",1,2,3,4,9699,4,"No",11,3,1,1,16,2,3,13,9,1,12,"35-44","10+ years","7000-9999","1-5","0-1 years",0
482,"No",57,"Research & Development","Healthcare Representative","Male","Married","Travel_Rarely",1,4,"Medical",4,3,2,3,6755,2,"No",11,3,3,0,15,2,3,3,2,1,2,"55+","3-5 years","5000-6999","1-5","0-1 years",0
483,"No",40,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",10,4,"Life Sciences",4,4,1,3,2213,3,"Yes",13,3,3,1,10,3,3,7,7,1,7,"35-44","6-10 years","Under 3000","6-10","0-1 years",0
484,"No",21,"Sales","Sales Representative","Male","Single","Non-Travel",9,2,"Medical",1,3,1,4,2610,1,"No",24,4,3,0,3,3,2,3,2,2,2,"Under 25","3-5 years","Under 3000","6-10","2-3 years",0
485,"Yes",33,"Sales","Sales Representative","Female","Single","Travel_Rarely",5,3,"Marketing",4,3,1,3,2851,1,"Yes",13,3,2,0,1,2,3,1,0,0,0,"25-34","1-2 years","Under 3000","1-5","0-1 years",1
486,"No",37,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",10,3,"Medical",3,3,1,1,3452,6,"No",20,4,2,1,17,3,3,5,4,0,3,"35-44","3-5 years","3000-4999","6-10","0-1 years",0
487,"No",46,"Research & Development","Manufacturing Director","Female","Married","Non-Travel",7,4,"Medical",3,3,2,3,5258,2,"No",14,3,3,0,7,2,4,1,0,0,0,"45-54","1-2 years","5000-6999","6-10","0-1 years",0
488,"Yes",41,"Sales","Sales Executive","Male","Single","Travel_Frequently",4,3,"Marketing",1,3,2,2,9355,1,"No",18,3,3,0,8,5,3,8,7,7,7,"35-44","6-10 years","7000-9999","1-5","6+ years",1
491,"No",50,"Research & Development","Healthcare Representative","Male","Single","Travel_Rarely",10,3,"Technical Degree",4,2,3,4,10496,6,"No",15,3,4,0,20,2,3,4,3,1,3,"45-54","3-5 years","10000+","6-10","0-1 years",0
492,"Yes",40,"Sales","Sales Executive","Male","Married","Travel_Rarely",22,2,"Marketing",3,2,2,3,6380,2,"Yes",12,3,1,2,8,6,3,6,4,1,0,"35-44","6-10 years","5000-6999","21+","0-1 years",1
493,"No",31,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",9,4,"Life Sciences",3,2,1,2,2657,0,"Yes",16,3,4,0,3,5,3,2,2,2,2,"25-34","1-2 years","Under 3000","6-10","2-3 years",0
494,"Yes",21,"Sales","Sales Representative","Female","Single","Travel_Rarely",12,3,"Life Sciences",3,4,1,2,2716,1,"No",15,3,4,0,1,0,3,1,0,0,0,"Under 25","1-2 years","Under 3000","11-20","0-1 years",1
495,"No",29,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",23,3,"Life Sciences",4,3,1,4,2201,9,"No",16,3,4,0,6,4,3,3,2,1,2,"25-34","3-5 years","Under 3000","21+","0-1 years",0
496,"No",35,"Research & Development","Healthcare Representative","Male","Single","Travel_Rarely",9,4,"Life Sciences",3,2,2,2,6540,9,"No",19,3,3,0,10,5,3,1,1,0,0,"35-44","1-2 years","5000-6999","6-10","0-1 years",0
497,"No",27,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",1,2,"Medical",4,3,1,2,3816,1,"No",11,3,2,1,5,2,3,5,2,0,4,"25-34","3-5 years","3000-4999","1-5","0-1 years",0
498,"No",28,"Sales","Sales Executive","Male","Single","Travel_Rarely",9,4,"Life Sciences",2,3,2,4,5253,1,"No",16,3,4,0,7,1,3,7,5,0,7,"25-34","6-10 years","5000-6999","6-10","0-1 years",0
499,"No",49,"Research & Development","Healthcare Representative","Male","Single","Travel_Rarely",7,3,"Other",2,2,3,3,10965,8,"No",24,4,3,0,26,2,3,5,2,0,0,"45-54","3-5 years","10000+","6-10","0-1 years",0
500,"No",51,"Sales","Sales Executive","Female","Married","Travel_Rarely",14,2,"Life Sciences",3,3,2,4,4936,4,"No",11,3,3,1,18,2,2,7,7,0,7,"45-54","6-10 years","3000-4999","11-20","0-1 years",0
501,"No",36,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",2,3,"Life Sciences",4,3,1,3,2543,4,"No",13,3,2,1,6,3,3,2,2,2,2,"35-44","1-2 years","Under 3000","1-5","2-3 years",0
502,"Yes",34,"Sales","Sales Executive","Male","Single","Non-Travel",19,3,"Marketing",1,4,2,4,5304,8,"Yes",13,3,2,0,9,3,2,5,2,0,4,"25-34","3-5 years","5000-6999","11-20","0-1 years",1
505,"No",55,"Research & Development","Manager","Female","Single","Travel_Rarely",2,3,"Life Sciences",3,3,4,4,16659,2,"Yes",13,3,3,0,30,2,3,5,4,1,2,"55+","3-5 years","10000+","1-5","0-1 years",0
507,"No",24,"Sales","Sales Executive","Female","Divorced","Travel_Rarely",10,4,"Marketing",4,3,2,3,4260,1,"Yes",12,3,4,1,5,2,4,5,2,0,3,"Under 25","3-5 years","3000-4999","6-10","0-1 years",0
508,"No",30,"Sales","Sales Representative","Male","Married","Travel_Rarely",2,1,"Technical Degree",3,3,1,2,2476,1,"No",18,3,1,1,1,3,3,1,0,0,0,"25-34","1-2 years","Under 3000","1-5","0-1 years",0
510,"Yes",26,"Research & Development","Research Scientist","Male","Single","Travel_Frequently",3,1,"Technical Degree",3,3,1,1,3102,0,"No",22,4,3,0,7,2,3,6,4,0,4,"25-34","6-10 years","3000-4999","1-5","0-1 years",1
511,"No",22,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",11,3,"Medical",1,3,1,2,2244,1,"No",13,3,4,1,2,1,3,2,1,1,2,"Under 25","1-2 years","Under 3000","11-20","0-1 years",0
513,"No",36,"Sales","Sales Executive","Male","Married","Travel_Rarely",2,2,"Medical",2,2,3,3,7596,1,"No",13,3,2,2,10,2,3,10,9,9,0,"35-44","6-10 years","7000-9999","1-5","6+ years",0
514,"Yes",30,"Research & Development","Research Scientist","Male","Single","Travel_Frequently",4,3,"Technical Degree",3,3,1,4,2285,9,"Yes",23,4,3,0,3,4,3,1,0,0,0,"25-34","1-2 years","Under 3000","1-5","0-1 years",1
515,"No",37,"Research & Development","Laboratory Technician","Female","Divorced","Travel_Rarely",14,3,"Life Sciences",4,3,1,1,3034,1,"No",12,3,3,1,18,2,2,18,7,12,17,"35-44","10+ years","3000-4999","11-20","6+ years",0
516,"No",40,"Sales","Sales Executive","Female","Divorced","Travel_Rarely",2,2,"Marketing",4,3,2,2,5715,7,"No",12,3,3,2,8,5,3,5,4,1,3,"35-44","3-5 years","5000-6999","1-5","0-1 years",0
517,"No",42,"Research & Development","Laboratory Technician","Female","Divorced","Travel_Rarely",1,4,"Life Sciences",2,3,1,1,2576,3,"No",16,3,2,1,8,5,3,5,2,1,2,"35-44","3-5 years","Under 3000","1-5","0-1 years",0
518,"No",37,"Research & Development","Manufacturing Director","Male","Single","Travel_Rarely",10,4,"Life Sciences",3,3,2,2,4197,2,"Yes",12,3,4,0,18,2,2,1,0,0,1,"35-44","1-2 years","3000-4999","6-10","0-1 years",0
520,"No",43,"Research & Development","Research Director","Male","Divorced","Travel_Rarely",12,3,"Life Sciences",1,2,4,2,14336,1,"No",11,3,3,1,25,3,3,25,10,3,9,"35-44","10+ years","10000+","11-20","2-3 years",0
521,"No",40,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",2,3,"Medical",2,2,2,3,3448,6,"No",22,4,2,1,20,3,3,1,0,0,0,"35-44","1-2 years","3000-4999","1-5","0-1 years",0
522,"No",54,"Research & Development","Research Director","Male","Married","Travel_Rarely",5,2,"Medical",1,3,5,1,19406,4,"No",11,3,3,1,24,4,2,4,2,1,2,"45-54","3-5 years","10000+","1-5","0-1 years",0
523,"No",34,"Sales","Sales Executive","Female","Married","Non-Travel",4,4,"Marketing",3,3,2,3,6538,9,"No",15,3,1,1,6,3,3,3,2,1,2,"25-34","3-5 years","5000-6999","1-5","0-1 years",0
524,"No",31,"Research & Development","Manufacturing Director","Female","Married","Travel_Rarely",7,2,"Medical",2,3,2,1,4306,1,"No",12,3,2,1,13,5,1,13,10,3,12,"25-34","10+ years","3000-4999","6-10","2-3 years",0
525,"No",43,"Research & Development","Laboratory Technician","Male","Married","Travel_Frequently",21,3,"Medical",4,3,1,4,2258,7,"No",20,4,1,1,8,1,3,3,2,1,2,"35-44","3-5 years","Under 3000","21+","0-1 years",0
526,"No",43,"Research & Development","Healthcare Representative","Female","Divorced","Travel_Rarely",8,4,"Other",3,3,2,3,4522,4,"Yes",14,3,4,0,8,3,3,5,2,0,2,"35-44","3-5 years","3000-4999","6-10","0-1 years",0
527,"No",25,"Sales","Sales Executive","Female","Single","Travel_Rarely",4,2,"Life Sciences",2,2,2,4,4487,1,"Yes",11,3,2,0,5,3,3,5,4,1,3,"25-34","3-5 years","3000-4999","1-5","0-1 years",0
529,"No",37,"Research & Development","Research Scientist","Female","Married","Non-Travel",25,5,"Medical",2,3,2,3,4449,3,"Yes",15,3,1,2,15,2,3,13,11,10,7,"35-44","10+ years","3000-4999","21+","6+ years",0
530,"No",31,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",1,2,"Life Sciences",4,2,1,1,2218,1,"No",12,3,3,1,4,3,3,4,2,3,2,"25-34","3-5 years","Under 3000","1-5","2-3 years",0
531,"No",39,"Research & Development","Manager","Male","Divorced","Travel_Frequently",1,1,"Life Sciences",2,3,5,3,19197,1,"Yes",14,3,3,1,21,3,3,21,8,1,6,"35-44","10+ years","10000+","1-5","0-1 years",0
532,"No",56,"Sales","Sales Executive","Female","Married","Travel_Frequently",6,3,"Life Sciences",3,4,4,1,13212,9,"No",11,3,4,3,36,0,2,7,7,7,7,"55+","6-10 years","10000+","6-10","6+ years",0
533,"No",30,"Sales","Sales Executive","Female","Single","Travel_Rarely",12,3,"Technical Degree",2,3,2,3,6577,0,"No",11,3,2,0,6,6,3,5,4,4,4,"25-34","3-5 years","5000-6999","11-20","4-5 years",0
534,"No",41,"Sales","Sales Executive","Male","Married","Travel_Rarely",1,3,"Marketing",2,4,3,1,8392,1,"No",16,3,3,1,10,2,3,10,7,0,7,"35-44","6-10 years","7000-9999","1-5","0-1 years",0
536,"No",28,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",17,2,"Medical",3,3,2,1,4558,1,"No",12,3,4,1,10,2,3,10,0,1,8,"25-34","6-10 years","3000-4999","11-20","0-1 years",0
538,"Yes",25,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",3,3,"Medical",1,3,1,1,4031,5,"No",13,3,3,1,6,5,3,2,2,0,2,"25-34","1-2 years","3000-4999","1-5","0-1 years",1
543,"No",52,"Research & Development","Manufacturing Director","Male","Married","Travel_Rarely",3,3,"Medical",4,2,3,3,7969,2,"Yes",14,3,3,0,28,4,3,5,4,0,4,"45-54","3-5 years","7000-9999","1-5","0-1 years",0
544,"No",45,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",10,2,"Life Sciences",1,3,1,4,2654,3,"No",21,4,4,2,8,3,2,2,2,0,2,"45-54","1-2 years","Under 3000","6-10","0-1 years",0
546,"No",52,"Research & Development","Manager","Female","Married","Travel_Rarely",4,2,"Life Sciences",4,3,4,4,16555,2,"No",13,3,4,0,31,2,1,5,2,1,4,"45-54","3-5 years","10000+","1-5","0-1 years",0
547,"No",42,"Research & Development","Research Scientist","Female","Divorced","Travel_Frequently",29,2,"Life Sciences",1,3,2,3,4556,2,"No",11,3,2,1,19,3,3,5,4,0,2,"35-44","3-5 years","3000-4999","21+","0-1 years",0
548,"No",30,"Research & Development","Manufacturing Director","Female","Single","Travel_Rarely",2,3,"Life Sciences",3,1,2,4,6091,2,"No",20,4,3,0,11,2,3,5,4,0,2,"25-34","3-5 years","5000-6999","1-5","0-1 years",0
549,"No",60,"Research & Development","Manager","Female","Married","Travel_Rarely",7,3,"Life Sciences",1,3,5,1,19566,5,"No",11,3,4,0,33,5,1,29,8,11,10,"55+","10+ years","10000+","6-10","6+ years",0
550,"No",46,"Research & Development","Manufacturing Director","Female","Divorced","Travel_Rarely",18,3,"Medical",3,3,2,3,4810,2,"No",14,3,3,1,19,5,2,10,7,0,8,"45-54","6-10 years","3000-4999","11-20","0-1 years",0
551,"No",42,"Research & Development","Healthcare Representative","Female","Married","Travel_Frequently",28,4,"Technical Degree",4,2,2,4,4523,0,"No",11,3,4,3,7,4,4,6,5,0,4,"35-44","6-10 years","3000-4999","21+","0-1 years",0
554,"Yes",24,"Sales","Sales Representative","Female","Single","Travel_Rarely",1,1,"Technical Degree",1,3,1,2,3202,1,"Yes",16,3,2,0,6,4,3,5,3,1,4,"Under 25","3-5 years","3000-4999","1-5","0-1 years",1
555,"Yes",34,"Sales","Sales Representative","Female","Divorced","Travel_Frequently",6,2,"Marketing",4,1,1,3,2351,0,"No",16,3,4,1,3,3,2,2,2,1,0,"25-34","1-2 years","Under 3000","6-10","0-1 years",1
556,"No",38,"Research & Development","Laboratory Technician","Male","Married","Travel_Frequently",2,2,"Life Sciences",4,3,1,4,1702,1,"Yes",23,4,3,1,1,3,3,1,0,0,0,"35-44","1-2 years","Under 3000","1-5","0-1 years",0
558,"No",40,"Sales","Manager","Female","Married","Travel_Rarely",2,4,"Life Sciences",3,3,5,3,18041,0,"No",14,3,4,0,21,2,3,20,15,1,12,"35-44","10+ years","10000+","1-5","0-1 years",0
560,"No",26,"Research & Development","Research Scientist","Female","Divorced","Travel_Rarely",23,3,"Life Sciences",1,3,1,4,2886,1,"No",22,4,2,2,3,3,1,3,2,0,2,"25-34","3-5 years","Under 3000","21+","0-1 years",0
562,"No",30,"Research & Development","Laboratory Technician","Male","Married","Non-Travel",3,3,"Life Sciences",3,3,1,4,2097,4,"No",15,3,3,1,9,3,1,5,3,1,4,"25-34","3-5 years","Under 3000","1-5","0-1 years",0
564,"No",29,"Research & Development","Research Director","Male","Married","Travel_Rarely",3,4,"Medical",2,2,3,3,11935,1,"No",18,3,3,0,10,2,3,10,2,0,7,"25-34","6-10 years","10000+","1-5","0-1 years",0
565,"Yes",29,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",25,5,"Technical Degree",3,2,1,2,2546,5,"No",16,3,2,0,6,2,4,2,2,1,1,"25-34","1-2 years","Under 3000","21+","0-1 years",1
566,"Yes",19,"Human Resources","Human Resources","Male","Single","Travel_Rarely",2,2,"Technical Degree",1,2,1,4,2564,1,"No",12,3,3,0,1,3,4,1,0,0,0,"Under 25","1-2 years","Under 3000","1-5","0-1 years",1
567,"No",30,"Sales","Sales Executive","Female","Married","Non-Travel",22,4,"Other",3,3,3,1,8412,0,"No",11,3,3,0,10,3,3,9,8,7,8,"25-34","6-10 years","7000-9999","21+","6+ years",0
568,"No",57,"Sales","Manager","Male","Divorced","Travel_Rarely",29,3,"Marketing",1,2,4,4,14118,3,"No",12,3,3,1,32,3,2,1,0,0,0,"55+","1-2 years","10000+","21+","0-1 years",0
569,"No",50,"Research & Development","Manager","Male","Married","Travel_Rarely",29,4,"Life Sciences",2,2,4,3,17046,0,"No",15,3,2,1,28,2,3,27,10,15,7,"45-54","10+ years","10000+","21+","6+ years",0
571,"No",30,"Research & Development","Laboratory Technician","Female","Single","Non-Travel",2,3,"Medical",3,3,1,4,2564,0,"No",14,3,3,0,12,2,2,11,7,6,7,"25-34","10+ years","Under 3000","1-5","6+ years",0
573,"No",60,"Sales","Sales Executive","Female","Married","Travel_Frequently",28,3,"Marketing",3,2,3,1,10266,4,"No",19,3,4,0,22,5,4,18,13,13,11,"55+","10+ years","10000+","21+","6+ years",0
574,"No",47,"Research & Development","Manufacturing Director","Female","Divorced","Travel_Rarely",2,2,"Medical",1,3,2,4,5070,5,"No",13,3,3,3,20,2,3,5,0,0,4,"45-54","3-5 years","5000-6999","1-5","0-1 years",0
575,"No",46,"Research & Development","Research Director","Male","Married","Travel_Rarely",2,3,"Life Sciences",1,3,4,3,17861,6,"No",13,3,3,0,26,2,1,3,2,0,1,"45-54","3-5 years","10000+","1-5","0-1 years",0
577,"No",35,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",22,3,"Life Sciences",4,1,1,3,4230,0,"No",15,3,3,0,6,2,3,5,4,4,3,"35-44","3-5 years","3000-4999","21+","4-5 years",0
